,age,workclass,fnlwgt,education,educationN,maritalStatus,occupation,relationship,race,sex,country,timeWork,weight_change,social_status
24,59,Private,109.015,HS-grad,9,Divorced,Tech-support,Single,White,Female,USA,full time,0.0,Poor
25,56,Local-gov,216.851,Bachelors,13,Married-civ-spouse,Tech-support,Taken,White,Male,USA,full time,0.0,Rich
26,19,Private,168.294,HS-grad,9,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
29,49,Private,193.366,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
30,23,Local-gov,190.709,Assoc-acdm,12,Never-married,Protective-serv,Single,White,Male,USA,over time,0.0,Poor
31,20,Private,266.015,Some-college,10,Never-married,Sales,Single,Black,Male,USA,over time,0.0,Poor
33,30,Federal-gov,59.951,Some-college,10,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,full time,0.0,Poor
34,22,State-gov,311.512,Some-college,10,Married-civ-spouse,Other-service,Taken,Black,Male,USA,part time,0.0,Poor
35,48,Private,242.406,11th,7,Never-married,Machine-op-inspct,Single,White,Male,PR,full time,0.0,Poor
36,21,Private,197.2,Some-college,10,Never-married,Machine-op-inspct,Single,White,Male,USA,full time,0.0,Poor
38,31,Private,84.154,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,0.0,Rich
39,48,Self-emp-not-inc,265.477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Poor
41,53,Self-emp-not-inc,88.506,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Poor
42,24,Private,172.987,Bachelors,13,Married-civ-spouse,Tech-support,Taken,White,Male,USA,over time,0.0,Poor
43,49,Private,94.638,HS-grad,9,Separated,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
44,25,Private,289.98,HS-grad,9,Never-married,Handlers-cleaners,Single,White,Male,USA,full time,0.0,Poor
45,57,Federal-gov,337.895,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,Black,Male,USA,full time,0.0,Rich
46,53,Private,144.361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,full time,0.0,Poor
47,44,Private,128.354,Masters,14,Divorced,Exec-managerial,Single,White,Female,USA,full time,0.0,Poor
48,41,State-gov,101.603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
49,29,Private,271.466,Assoc-voc,11,Never-married,Prof-specialty,Single,White,Male,USA,over time,0.0,Poor
51,18,Private,226.956,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
52,47,Private,51.835,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Female,HN,over time,-1.902,Rich
53,50,Federal-gov,251.585,Bachelors,13,Divorced,Exec-managerial,Single,White,Male,USA,over time,0.0,Rich
54,47,Self-emp-inc,109.832,HS-grad,9,Divorced,Exec-managerial,Single,White,Male,USA,over time,0.0,Poor
55,43,Private,237.993,Some-college,10,Married-civ-spouse,Tech-support,Taken,White,Male,USA,full time,0.0,Rich
56,46,Private,216.666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,MX,full time,0.0,Poor
57,35,Private,56.352,Assoc-voc,11,Married-civ-spouse,Other-service,Taken,White,Male,PR,full time,0.0,Poor
58,41,Private,147.372,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,over time,0.0,Poor
59,30,Private,188.146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,full time,5.013,Poor
60,30,Private,59.496,Bachelors,13,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,2.407,Poor
62,48,Private,149.64,HS-grad,9,Married-civ-spouse,Transport-moving,Taken,White,Male,USA,full time,0.0,Poor
63,42,Private,116.632,Doctorate,16,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Rich
64,29,Private,105.598,Some-college,10,Divorced,Tech-support,Single,White,Male,USA,over time,0.0,Poor
65,36,Private,155.537,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
66,28,Private,183.175,Some-college,10,Divorced,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
67,53,Private,169.846,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,White,Female,USA,full time,0.0,Rich
68,49,Self-emp-inc,191.681,Some-college,10,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Rich
70,19,Private,101.509,Some-college,10,Never-married,Prof-specialty,Single,White,Male,USA,full time,0.0,Poor
71,31,Private,309.974,Bachelors,13,Separated,Sales,Single,Black,Female,USA,full time,0.0,Poor
72,29,Self-emp-not-inc,162.298,Bachelors,13,Married-civ-spouse,Sales,Taken,White,Male,USA,too much,0.0,Rich
73,23,Private,211.678,Some-college,10,Never-married,Machine-op-inspct,Single,White,Male,USA,full time,0.0,Poor
74,79,Private,124.744,Some-college,10,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,part time,0.0,Poor
75,27,Private,213.921,HS-grad,9,Never-married,Other-service,Single,White,Male,MX,full time,0.0,Poor
78,18,Private,309.634,11th,7,Never-married,Other-service,Single,White,Female,USA,part time,0.0,Poor
79,31,Local-gov,125.927,7th-8th,4,Married-civ-spouse,Farming-fishing,Taken,White,Male,USA,full time,0.0,Poor
81,52,Private,276.515,Bachelors,13,Married-civ-spouse,Other-service,Taken,White,Male,CU,full time,0.0,Poor
82,46,Private,51.618,HS-grad,9,Married-civ-spouse,Other-service,Taken,White,Female,USA,full time,0.0,Poor
83,59,Private,159.937,HS-grad,9,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Poor
84,44,Private,343.591,HS-grad,9,Divorced,Craft-repair,Single,White,Female,USA,full time,14.344,Rich
85,53,Private,346.253,HS-grad,9,Divorced,Sales,Single,White,Female,USA,full time,0.0,Poor
86,49,Local-gov,268.234,HS-grad,9,Married-civ-spouse,Protective-serv,Taken,White,Male,USA,full time,0.0,Rich
87,33,Private,202.051,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Poor
88,30,Private,54.334,9th,5,Never-married,Sales,Single,White,Male,USA,full time,0.0,Poor
90,57,Private,249.977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Poor
91,37,Private,286.73,Some-college,10,Divorced,Craft-repair,Single,White,Female,USA,full time,0.0,Poor
92,28,Private,212.563,Some-college,10,Divorced,Machine-op-inspct,Single,Black,Female,USA,part time,0.0,Poor
93,30,Private,117.747,HS-grad,9,Married-civ-spouse,Sales,Taken,Asian-Pac-Islander,Female,PH,full time,-1.573,Poor
94,34,Local-gov,226.296,Bachelors,13,Married-civ-spouse,Protective-serv,Taken,White,Male,USA,full time,0.0,Rich
95,29,Local-gov,115.585,Some-college,10,Never-married,Handlers-cleaners,Single,White,Male,USA,over time,0.0,Poor
96,48,Self-emp-not-inc,191.277,Doctorate,16,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,-1.902,Rich
97,37,Private,202.683,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Rich
98,48,Private,171.095,Assoc-acdm,12,Divorced,Exec-managerial,Single,White,Female,UK,full time,0.0,Poor
99,32,Federal-gov,249.409,HS-grad,9,Never-married,Other-service,Single,Black,Male,USA,full time,0.0,Poor
100,76,Private,124.191,Masters,14,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,0.0,Rich
101,44,Private,198.282,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,15.024,Rich
102,47,Self-emp-not-inc,149.116,Masters,14,Never-married,Prof-specialty,Single,White,Female,USA,over time,0.0,Poor
103,20,Private,188.3,Some-college,10,Never-married,Tech-support,Single,White,Female,USA,full time,0.0,Poor
104,29,Private,103.432,HS-grad,9,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
105,32,Self-emp-inc,317.66,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,7.688,Rich
107,30,Private,194.901,11th,7,Never-married,Handlers-cleaners,Single,White,Male,USA,full time,0.0,Poor
108,31,Local-gov,189.265,HS-grad,9,Never-married,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
109,42,Private,124.692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Taken,White,Male,USA,full time,0.0,Poor
111,38,Private,65.324,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
112,56,Self-emp-not-inc,335.605,HS-grad,9,Married-civ-spouse,Other-service,Taken,White,Male,CA,over time,-1.887,Rich
114,36,Private,102.864,HS-grad,9,Never-married,Machine-op-inspct,Single,White,Female,USA,full time,0.0,Poor
115,53,Private,95.647,9th,5,Married-civ-spouse,Handlers-cleaners,Taken,White,Male,USA,over time,0.0,Poor
116,56,Self-emp-inc,303.09,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Poor
117,49,Local-gov,197.371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Taken,Black,Male,USA,full time,0.0,Rich
118,55,Private,247.552,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Poor
119,22,Private,102.632,HS-grad,9,Never-married,Craft-repair,Single,White,Male,USA,over time,0.0,Poor
120,21,Private,199.915,Some-college,10,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
121,40,Private,118.853,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Poor
122,30,Private,77.143,Bachelors,13,Never-married,Exec-managerial,Single,Black,Male,DE,full time,0.0,Poor
123,29,State-gov,267.989,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Rich
124,19,Private,301.606,Some-college,10,Never-married,Other-service,Single,Black,Male,USA,full time,0.0,Poor
125,47,Private,287.828,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Female,USA,full time,0.0,Rich
126,20,Private,111.697,Some-college,10,Never-married,Adm-clerical,Single,White,Female,USA,full time,-1.719,Poor
127,31,Private,114.937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,full time,0.0,Rich
130,28,Private,69.621,Assoc-acdm,12,Never-married,Sales,Single,White,Female,USA,over time,0.0,Poor
131,24,Private,43.323,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,-1.762,Poor
132,38,Self-emp-not-inc,120.985,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,4.386,Poor
133,37,Private,254.202,Bachelors,13,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Poor
134,46,Private,146.195,Assoc-acdm,12,Divorced,Tech-support,Single,Black,Female,USA,full time,0.0,Poor
135,38,Federal-gov,125.933,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Male,IR,full time,0.0,Rich
136,43,Self-emp-not-inc,56.92,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Poor
137,27,Private,163.127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Taken,White,Female,USA,full time,0.0,Poor
139,49,Private,81.973,Some-college,10,Married-civ-spouse,Craft-repair,Taken,Asian-Pac-Islander,Male,USA,full time,0.0,Rich
140,61,Self-emp-inc,66.614,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Poor
141,27,Private,232.782,Some-college,10,Never-married,Sales,Single,White,Female,USA,full time,0.0,Poor
142,19,Private,316.868,Some-college,10,Never-married,Other-service,Single,White,Male,MX,full time,0.0,Poor
143,45,Private,196.584,Assoc-voc,11,Never-married,Prof-specialty,Single,White,Female,USA,full time,-1.564,Rich
144,70,Private,105.376,Some-college,10,Never-married,Tech-support,Single,White,Male,USA,full time,0.0,Poor
145,31,Private,185.814,HS-grad,9,Never-married,Transport-moving,Single,Black,Female,USA,full time,0.0,Poor
146,22,Private,175.374,Some-college,10,Married-civ-spouse,Other-service,Taken,White,Male,USA,part time,0.0,Poor
147,36,Private,108.293,HS-grad,9,Widowed,Other-service,Single,White,Female,USA,part time,0.0,Poor
148,64,Private,181.232,11th,7,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,-2.179,Poor
150,47,Local-gov,186.009,Some-college,10,Divorced,Adm-clerical,Single,White,Female,MX,full time,0.0,Poor
151,34,Private,198.183,HS-grad,9,Never-married,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
152,33,Private,163.003,Bachelors,13,Never-married,Exec-managerial,Single,Asian-Pac-Islander,Female,PH,full time,0.0,Poor
153,21,Private,296.158,HS-grad,9,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
155,48,Private,187.715,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,over time,0.0,Poor
156,23,Private,214.542,Bachelors,13,Never-married,Handlers-cleaners,Single,White,Male,USA,full time,0.0,Poor
158,29,Private,191.535,HS-grad,9,Divorced,Craft-repair,Single,White,Male,USA,over time,0.0,Poor
159,42,Private,228.456,Bachelors,13,Separated,Other-service,Single,Black,Male,USA,over time,0.0,Poor
161,25,Private,252.752,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
162,44,Self-emp-inc,78.374,Masters,14,Divorced,Exec-managerial,Single,Asian-Pac-Islander,Female,USA,full time,0.0,Poor
163,28,Private,88.419,HS-grad,9,Never-married,Exec-managerial,Single,Asian-Pac-Islander,Female,UK,full time,0.0,Poor
164,45,Self-emp-not-inc,201.08,Masters,14,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,0.0,Rich
165,36,Private,207.157,Some-college,10,Divorced,Other-service,Single,White,Female,MX,full time,0.0,Poor
166,39,Federal-gov,235.485,Assoc-acdm,12,Never-married,Exec-managerial,Single,White,Male,USA,over time,0.0,Poor
167,46,State-gov,102.628,Masters,14,Widowed,Protective-serv,Single,White,Male,USA,full time,0.0,Poor
169,66,Local-gov,54.826,Assoc-voc,11,Widowed,Prof-specialty,Single,White,Female,USA,part time,0.0,Poor
170,27,Private,124.953,HS-grad,9,Never-married,Other-service,Single,White,Male,USA,full time,-1.98,Poor
171,28,State-gov,175.325,HS-grad,9,Married-civ-spouse,Protective-serv,Taken,White,Male,USA,full time,0.0,Poor
172,51,Private,96.062,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,-1.977,Rich
174,28,State-gov,149.624,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
175,27,Private,253.814,HS-grad,9,Married-spouse-absent,Sales,Taken,White,Female,USA,part time,0.0,Poor
176,21,Private,312.956,HS-grad,9,Never-married,Craft-repair,Single,Black,Male,USA,full time,0.0,Poor
178,18,Private,183.93,HS-grad,9,Never-married,Other-service,Single,White,Male,USA,part time,0.0,Poor
180,44,Local-gov,181.344,Some-college,10,Married-civ-spouse,Exec-managerial,Taken,Black,Male,USA,full time,0.0,Rich
181,43,Private,114.58,Some-college,10,Divorced,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
183,40,Private,286.37,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,MX,full time,0.0,Rich
185,34,Private,304.03,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,Black,Male,USA,full time,0.0,Poor
186,41,Self-emp-not-inc,143.129,Bachelors,13,Divorced,Exec-managerial,Single,White,Female,USA,full time,0.0,Poor
188,31,Private,99.928,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Female,USA,over time,0.0,Poor
189,58,State-gov,109.567,Doctorate,16,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,part time,0.0,Rich
190,38,Private,155.222,Some-college,10,Divorced,Machine-op-inspct,Single,Black,Female,USA,full time,0.0,Poor
191,24,Private,159.567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,full time,0.0,Poor
193,47,Private,120.939,Some-college,10,Married-civ-spouse,Tech-support,Taken,White,Male,USA,over time,0.0,Poor
194,41,Federal-gov,130.76,Bachelors,13,Married-civ-spouse,Tech-support,Taken,White,Male,USA,part time,0.0,Poor
195,23,Private,197.387,5th-6th,3,Married-civ-spouse,Transport-moving,Taken,White,Male,MX,full time,0.0,Poor
196,36,Private,99.374,Some-college,10,Divorced,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
197,40,Federal-gov,56.795,Masters,14,Never-married,Exec-managerial,Single,White,Female,USA,over time,14.084,Rich
198,35,Private,138.992,Masters,14,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,7.298,Rich
202,51,Private,259.323,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,over time,0.0,Rich
203,42,Local-gov,254.817,Some-college,10,Never-married,Prof-specialty,Single,White,Female,USA,full time,-1.34,Poor
204,37,State-gov,48.211,HS-grad,9,Divorced,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
205,18,Private,140.164,11th,7,Never-married,Sales,Single,White,Female,USA,full time,0.0,Poor
206,36,Private,128.757,Bachelors,13,Married-civ-spouse,Other-service,Taken,Black,Male,USA,full time,7.298,Rich
208,58,Self-emp-inc,210.563,HS-grad,9,Married-civ-spouse,Sales,Taken,White,Female,USA,full time,15.024,Rich
209,17,Private,65.368,11th,7,Never-married,Sales,Single,White,Female,USA,part time,0.0,Poor
210,44,Local-gov,160.943,HS-grad,9,Married-civ-spouse,Transport-moving,Taken,Black,Male,USA,full time,0.0,Poor
211,37,Private,208.358,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,0.0,Rich
212,35,Private,153.79,Some-college,10,Never-married,Sales,Single,Amer-Indian-Eskimo,Female,USA,full time,0.0,Poor
213,60,Private,85.815,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,Asian-Pac-Islander,Male,USA,full time,0.0,Poor
214,54,Self-emp-inc,125.417,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Taken,White,Male,USA,full time,0.0,Rich
216,50,Private,313.321,Assoc-acdm,12,Divorced,Sales,Single,White,Female,USA,full time,0.0,Poor
217,38,Private,182.609,Bachelors,13,Married-civ-spouse,Sales,Taken,White,Male,PL,over time,0.0,Poor
218,45,Private,109.434,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Poor
219,25,Private,255.004,10th,6,Never-married,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
220,31,Private,197.86,Some-college,10,Married-civ-spouse,Handlers-cleaners,Taken,White,Male,USA,full time,0.0,Poor
222,90,Private,51.744,HS-grad,9,Never-married,Other-service,Single,Black,Male,USA,full time,-2.206,Poor
223,54,Private,176.681,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,Black,Male,USA,part time,0.0,Poor
224,53,Local-gov,140.359,Preschool,1,Never-married,Machine-op-inspct,Single,White,Female,USA,full time,0.0,Poor
225,18,Private,243.313,HS-grad,9,Never-married,Sales,Single,White,Female,USA,full time,0.0,Poor
227,66,Self-emp-not-inc,167.687,HS-grad,9,Married-civ-spouse,Farming-fishing,Taken,White,Male,USA,over time,1.409,Poor
228,75,Private,314.209,Assoc-voc,11,Widowed,Adm-clerical,Single,White,Female,CO,part time,0.0,Poor
229,65,Private,176.796,HS-grad,9,Divorced,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
231,41,Private,130.408,HS-grad,9,Divorced,Sales,Single,Black,Female,USA,full time,0.0,Poor
232,25,Private,159.732,Some-college,10,Never-married,Adm-clerical,Single,White,Male,USA,over time,0.0,Poor
233,33,Private,110.978,Some-college,10,Divorced,Craft-repair,Single,Other,Female,USA,full time,0.0,Poor
234,28,Private,76.714,Prof-school,15,Never-married,Prof-specialty,Single,White,Male,USA,over time,0.0,Rich
235,59,State-gov,268.7,HS-grad,9,Married-civ-spouse,Other-service,Taken,White,Male,USA,full time,0.0,Poor
236,40,State-gov,170.525,Some-college,10,Never-married,Adm-clerical,Single,White,Female,USA,full time,0.0,Poor
237,41,Private,180.138,Bachelors,13,Married-civ-spouse,Exec-managerial,Taken,White,Male,IR,over time,0.0,Rich
238,38,Local-gov,115.076,Masters,14,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,too much,0.0,Rich
239,23,Private,115.458,HS-grad,9,Never-married,Transport-moving,Single,White,Male,USA,full time,0.0,Poor
240,40,Private,347.89,Bachelors,13,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,full time,0.0,Rich
241,41,Self-emp-not-inc,196.001,HS-grad,9,Married-civ-spouse,Other-service,Taken,White,Female,USA,part time,0.0,Poor
242,24,State-gov,273.905,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Taken,White,Male,USA,over time,0.0,Poor
244,38,Private,179.488,Some-college,10,Divorced,Craft-repair,Single,White,Male,USA,full time,-1.741,Poor
245,56,Private,203.58,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,full time,0.0,Poor
246,58,Private,236.596,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,over time,0.0,Rich
247,32,Private,183.916,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
248,40,Private,207.578,Assoc-acdm,12,Married-civ-spouse,Tech-support,Taken,White,Male,USA,over time,-1.977,Rich
249,45,Private,153.141,HS-grad,9,Married-civ-spouse,Adm-clerical,Taken,White,Male,USA,full time,0.0,Poor
250,41,Private,112.763,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Female,USA,full time,0.0,Rich
252,59,Local-gov,171.328,10th,6,Widowed,Other-service,Single,Black,Female,USA,full time,0.0,Poor
254,58,Private,259.014,Some-college,10,Never-married,Transport-moving,Single,White,Male,USA,part time,0.0,Poor
255,42,Self-emp-not-inc,303.044,HS-grad,9,Married-civ-spouse,Farming-fishing,Taken,Asian-Pac-Islander,Male,CM,full time,0.0,Rich
256,20,Private,117.789,HS-grad,9,Never-married,Other-service,Single,White,Female,USA,full time,0.0,Poor
257,32,Private,172.579,HS-grad,9,Separated,Other-service,Single,White,Female,USA,full time,0.0,Poor
258,45,Private,187.666,Assoc-voc,11,Widowed,Exec-managerial,Single,White,Female,USA,over time,0.0,Poor
259,50,Private,204.518,7th-8th,4,Divorced,Craft-repair,Single,White,Male,USA,full time,0.0,Poor
260,36,Private,150.042,Bachelors,13,Divorced,Prof-specialty,Single,White,Female,USA,full time,0.0,Poor
261,45,Private,98.092,HS-grad,9,Married-civ-spouse,Sales,Taken,White,Male,USA,over time,0.0,Poor
262,17,Private,245.918,11th,7,Never-married,Other-service,Single,White,Male,USA,part time,0.0,Poor
263,59,Private,146.013,Some-college,10,Married-civ-spouse,Sales,Taken,White,Male,USA,full time,4.064,Poor
265,37,Self-emp-inc,257.295,Some-college,10,Married-civ-spouse,Exec-managerial,Taken,Asian-Pac-Islander,Male,TH,too much,0.0,Rich
268,33,Private,185.48,Bachelors,13,Never-married,Prof-specialty,Single,White,Female,USA,over time,0.0,Poor
269,33,Private,222.205,HS-grad,9,Married-civ-spouse,Craft-repair,Taken,White,Female,USA,full time,0.0,Rich
270,61,Private,69.867,HS-grad,9,Married-civ-spouse,Exec-managerial,Taken,White,Male,USA,full time,0.0,Rich
271,17,Private,191.26,9th,5,Never-married,Other-service,Single,White,Male,USA,part time,1.055,Poor
273,27,Local-gov,209.109,Masters,14,Never-married,Prof-specialty,Single,White,Male,USA,full time,0.0,Poor
274,30,Private,70.377,HS-grad,9,Divorced,Prof-specialty,Single,White,Female,USA,full time,0.0,Poor
276,44,Private,170.924,Some-college,10,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,7.298,Rich
277,35,Private,190.174,Some-college,10,Never-married,Exec-managerial,Single,White,Female,USA,full time,0.0,Poor
278,25,Private,193.787,Some-college,10,Never-married,Tech-support,Single,White,Female,USA,full time,0.0,Poor
279,24,Private,279.472,Some-college,10,Married-civ-spouse,Machine-op-inspct,Taken,White,Female,USA,over time,7.298,Rich
281,42,Local-gov,97.688,Some-college,10,Married-civ-spouse,Craft-repair,Taken,White,Male,USA,full time,5.178,Rich
282,34,Private,175.413,Assoc-acdm,12,Divorced,Sales,Single,Black,Female,USA,over time,0.0,Poor
283,60,Private,173.96,Bachelors,13,Divorced,Prof-specialty,Single,White,Female,USA,over time,0.0,Poor
284,21,Private,205.759,HS-grad,9,Never-married,Handlers-cleaners,Single,White,Male,USA,full time,0.0,Poor
286,41,Private,220.531,Prof-school,15,Married-civ-spouse,Prof-specialty,Taken,White,Male,USA,over time,0.0,Rich
287,50,Private,176.609,Some-college,10,Divorced,Other-service,Single,White,Male,USA,over time,0.0,Poor
289,50,Private,193.884,7th-8th,4,Married-civ-spouse,Craft-repair,Taken,White,Male,EC,full time,0.0,Poor
